model,stratum,n,syllable_l1_error_mean,syllable_perfect_rate,line_count_ok_rate,subject_cosine_full_mean,subject_cosine_word_sum_mean,subject_mentioned_rate,cosine_full_minus_word_sum_mean
gpt-4o-mini-demo,abstract,6,6.0,0.0,1.0,0.14437547537670073,0.49174148325645,0.0,-0.3473660078797492
gpt-4o-mini-demo,compound,6,3.6666666666666665,0.0,1.0,0.3377556377027342,0.4763472170930713,0.0,-0.13859157939033712
gpt-4o-mini-demo,concrete_nature,6,5.666666666666667,0.0,1.0,0.44216974164141964,0.5883312171291277,0.0,-0.1461614754877081
gpt-4o-mini-demo,concrete_object,6,4.0,0.0,1.0,0.34704677753299773,0.5431061780093485,0.0,-0.19605940047635073
gpt-4o-demo,abstract,6,3.6666666666666665,0.0,1.0,0.12054091854236648,0.48331610757849713,0.0,-0.36277518903613065
gpt-4o-demo,compound,6,1.6666666666666667,0.0,1.0,0.32250655486540786,0.4741818325959639,0.0,-0.15167527773055609
gpt-4o-demo,concrete_nature,6,3.3333333333333335,0.0,1.0,0.41125430579466293,0.5912579471705034,0.0,-0.18000364137584043
gpt-4o-demo,concrete_object,6,2.0,0.0,1.0,0.3552383084679356,0.5472253158645454,0.0,-0.19198700739660976
